기상상태,시간대,도로위험도
맑음/흐림,주간,0.2336
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.0136
맑음/흐림,주간,1
맑음/흐림,주간,0.1234
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0136
비,주간,0.0068
맑음/흐림,주간,0.0272
맑음/흐림,주간,0.474
비,주간,0.0068
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.1576
비,주간,0.1508
비,야간,0.0068
비,주간,0.1168
맑음/흐림,야간,0.0204
맑음/흐림,주간,0.0272
맑음/흐림,주간,0.034
맑음/흐림,주간,0.0101
맑음/흐림,주간,0.1168
맑음/흐림,주간,0.0068
맑음/흐림,야간,0.0068
맑음/흐림,주간,1
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0136
맑음/흐림,야간,0.0068
맑음/흐림,주간,1.0033
맑음/흐림,주간,0.0136
맑음/흐림,야간,0.0033
맑음/흐림,주간,0.0204
맑음/흐림,야간,0.0272
맑음/흐림,주간,0.0136
맑음/흐림,야간,0.1372
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.2505
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.0068
맑음/흐림,야간,0.2336
맑음/흐림,주간,0.144
맑음/흐림,주간,0.1269
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,1
맑음/흐림,야간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,야간,0.1236
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,야간,0.0136
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.1168
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.1236
맑음/흐림,주간,0.0068
맑음/흐림,야간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
비,주간,0.1302
맑음/흐림,주간,0.0204
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0101
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.1368
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,야간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0099
맑음/흐림,야간,0.0068
맑음/흐림,주간,0.0033
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0136
맑음/흐림,야간,0.1335
맑음/흐림,야간,0.0303
비,야간,0.0068
비,주간,0.1168
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.4149
맑음/흐림,야간,0.0068
비,주간,0.0136
맑음/흐림,주간,0.0136
맑음/흐림,야간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0033
맑음/흐림,야간,0.0068
맑음/흐림,야간,0.0068
맑음/흐림,야간,0.0136
비,야간,0.0066
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.1201
맑음/흐림,주간,0.027
맑음/흐림,주간,0.0272
맑음/흐림,주간,0.0204
맑음/흐림,주간,0.0204
맑음/흐림,야간,1.0136
맑음/흐림,주간,0.1236
비,주간,0.0033
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0136
비,주간,0.0068
맑음/흐림,야간,0.0237
맑음/흐림,주간,0.0268
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.0068
비,야간,0.3504
맑음/흐림,야간,0.1304
맑음/흐림,야간,1.1269
맑음/흐림,주간,0.0204
맑음/흐림,주간,0.0235
맑음/흐림,주간,0.1168
비,주간,0.0068
맑음/흐림,주간,0.1337
맑음/흐림,주간,0.0338
맑음/흐림,주간,0.0068
비,주간,0.0068
안개,야간,0.0136
맑음/흐림,주간,0.2472
맑음/흐림,주간,0.1168
맑음/흐림,야간,0.0068
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.1168
비,주간,0.0068
맑음/흐림,주간,0.0101
맑음/흐림,주간,0.1236
맑음/흐림,주간,0.0101
맑음/흐림,야간,0.1201
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.0136
맑음/흐림,야간,0.0068
비,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,야간,0.1236
맑음/흐림,주간,0.0101
맑음/흐림,야간,1
맑음/흐림,야간,0.0033
맑음/흐림,주간,0.1372
맑음/흐림,주간,0.2505
맑음/흐림,주간,0.1168
맑음/흐림,주간,0.0033
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.0204
맑음/흐림,야간,0.0068
맑음/흐림,주간,0.2336
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0033
맑음/흐림,주간,0.1168
맑음/흐림,주간,0.0068
맑음/흐림,주간,1.0136
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.0272
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.034
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,야간,0.1168
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.0101
맑음/흐림,주간,0.0204
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,야간,0.1168
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.1168
맑음/흐림,주간,0.0068
맑음/흐림,야간,0.0101
맑음/흐림,야간,2.0136
맑음/흐림,주간,0.0272
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0169
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.0204
맑음/흐림,주간,0.0068
맑음/흐림,주간,1.034
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.1201
맑음/흐림,주간,0.0033
맑음/흐림,야간,0.0068
비,주간,0.1508
맑음/흐림,야간,0.0204
맑음/흐림,주간,0.0033
맑음/흐림,주간,0.0068
맑음/흐림,야간,0.0101
맑음/흐림,야간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0204
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.1168
맑음/흐림,주간,0.1168
맑음/흐림,주간,0.2336
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0305
맑음/흐림,주간,0.1236
맑음/흐림,야간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0204
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.364
비,주간,0.0033
맑음/흐림,야간,0.0136
맑음/흐림,주간,0.0099
맑음/흐림,야간,0.0204
맑음/흐림,주간,0.0204
비,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0204
맑음/흐림,주간,0.1168
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.2608
맑음/흐림,주간,0.1168
맑음/흐림,야간,0.0136
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.1236
비,야간,0.0204
맑음/흐림,주간,0.1269
맑음/흐림,야간,0.1236
맑음/흐림,야간,0.0068
맑음/흐림,야간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.034
맑음/흐림,주간,0.1372
맑음/흐림,주간,0.1168
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,1.1168
비,주간,0.1168
맑음/흐림,야간,0.1168
맑음/흐림,주간,0.0136
맑음/흐림,야간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.0068
맑음/흐림,야간,0.0068
맑음/흐림,주간,0.1168
맑음/흐림,주간,0.157
맑음/흐림,주간,0.281
비,주간,0.144
비,주간,0.0068
맑음/흐림,야간,0.0033
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.034
맑음/흐림,주간,0.0101
맑음/흐림,주간,0.2639
맑음/흐림,주간,0.0136
맑음/흐림,야간,0.1168
맑음/흐림,주간,0.0068
맑음/흐림,야간,0.0136
맑음/흐림,주간,0.0068
맑음/흐림,야간,0.0068
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.0169
맑음/흐림,야간,0.1236
맑음/흐림,야간,1
맑음/흐림,주간,0.0066
맑음/흐림,주간,0.1168
맑음/흐림,야간,0.0068
맑음/흐림,야간,0.0068
맑음/흐림,야간,1.2404
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.2336
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.1304
안개,야간,0.0101
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.0272
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.1168
맑음/흐림,주간,0.1236
맑음/흐림,주간,0.0167
맑음/흐림,주간,0.0066
비,주간,0.3572
맑음/흐림,주간,1.1168
맑음/흐림,주간,0.0068
맑음/흐림,야간,1
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.0033
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.0272
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0272
맑음/흐림,주간,0.0204
맑음/흐림,주간,0.034
맑음/흐림,주간,0.0169
맑음/흐림,주간,0.0068
비,주간,0.1236
맑음/흐림,주간,0.1304
맑음/흐림,주간,0.0167
맑음/흐림,야간,0.0136
맑음/흐림,주간,0.1236
비,주간,0.1508
비,주간,0.3504
맑음/흐림,야간,0.2472
맑음/흐림,주간,1.0204
맑음/흐림,주간,0.144
맑음/흐림,주간,0.0066
맑음/흐림,야간,1
맑음/흐림,주간,0.254
맑음/흐림,주간,1.0066
맑음/흐림,주간,1
맑음/흐림,주간,0.2336
맑음/흐림,주간,0.4672
맑음/흐림,야간,0.1168
비,주간,1
맑음/흐림,주간,0.0066
맑음/흐림,야간,0.1168
맑음/흐림,야간,1.0068
맑음/흐림,주간,0.1168
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0101
맑음/흐림,야간,2
맑음/흐림,주간,0.2336
맑음/흐림,주간,0.1677
맑음/흐림,야간,0.0169
맑음/흐림,주간,0.1236
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.1234
맑음/흐림,야간,1.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0204
맑음/흐림,야간,0.2336
맑음/흐림,주간,0.1471
맑음/흐림,주간,0.1236
맑음/흐림,야간,0.0136
맑음/흐림,주간,0.0068
맑음/흐림,야간,0.0136
맑음/흐림,주간,1.0033
비,주간,0.0068
비,주간,0.1236
비,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,1.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,1
맑음/흐림,주간,0.034
맑음/흐림,주간,0.0033
맑음/흐림,주간,0.0068
비,주간,0.0068
맑음/흐림,주간,0.2336
맑음/흐림,주간,0.0068
비,주간,0.0066
맑음/흐림,야간,1.0272
맑음/흐림,야간,0.0136
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.1236
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.0033
맑음/흐림,주간,0.1201
맑음/흐림,주간,0.1236
맑음/흐림,주간,0.0033
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.1335
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.1168
비,주간,0.1168
맑음/흐림,주간,0.0066
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.1168
맑음/흐림,야간,1.0136
맑음/흐림,주간,0.1236
맑음/흐림,주간,0.0033
맑음/흐림,야간,0.0068
맑음/흐림,주간,0.0169
맑음/흐림,야간,0.1236
맑음/흐림,주간,0.0136
맑음/흐림,야간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0033
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
비,주간,0.0068
맑음/흐림,주간,0.2369
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.1236
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.0033
맑음/흐림,주간,0.0204
맑음/흐림,주간,0.3537
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.1236
맑음/흐림,주간,0.034
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.1168
맑음/흐림,야간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,야간,1.1168
맑음/흐림,주간,0.0068
맑음/흐림,야간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0204
맑음/흐림,주간,1.0136
맑음/흐림,주간,0.144
맑음/흐림,주간,0.0204
맑음/흐림,야간,0.2744
비,주간,0.0033
맑음/흐림,주간,0.1168
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.0101
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0066
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0202
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0408
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.1304
비,주간,0.2336
맑음/흐림,주간,0.1168
맑음/흐림,주간,0.0136
비,주간,0.0068
맑음/흐림,주간,0.0305
맑음/흐림,주간,0.1236
맑음/흐림,주간,0.1337
맑음/흐림,주간,0.1168
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,1
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
맑음/흐림,야간,0.0305
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.2336
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0136
맑음/흐림,야간,0.0136
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.1168
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0068
비,주간,0.1236
맑음/흐림,주간,0.2336
맑음/흐림,야간,0.0136
맑음/흐림,주간,0.0136
맑음/흐림,주간,0.2336
맑음/흐림,주간,0.1168
맑음/흐림,주간,0.0068
맑음/흐림,주간,0.0136
맑음/흐림,야간,0.0068
맑음/흐림,주간,0.1644
